#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0050922	negative regulation of chemotaxis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006084	acetyl\-CoA metabolic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006564	L\-serine biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0000076	DNA replication checkpoint	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0009755	hormone\-mediated signaling	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006587	serotonin biosynthetic process from tryptophan	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0042427	serotonin biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0030833	regulation of actin filament polymerization	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006626	protein targeting to mitochondrion	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006583	melanin biosynthetic process from tyrosine	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006726	eye pigment biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0042840	D\-glucuronate catabolic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0019853	L\-ascorbic acid biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0046185	aldehyde catabolic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0001833	inner cell mass cell proliferation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0043009	chordate embryonic development	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006978	DNA damage response\, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007090	regulation of S phase of mitotic cell cycle	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007141	male meiosis I	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0033205	cytokinesis during cell cycle	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0033595	response to genistein	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0033600	negative regulation of mammary gland epithelial cell proliferation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0035264	multicellular organism growth	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0051298	centrosome duplication	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0008228	opsonization	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0022409	positive regulation of cell\-cell adhesion	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0010468	regulation of gene expression	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0018350	protein amino acid esterification	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
