#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
9372	Ruthenium Red	172	1	171	1699	17758958	17760657	0.01	0.00	60.8	1.633e-02
7379	Muscular Atrophy, Spinal	172	1	171	1742	17758915	17760657	0.01	0.00	59.3	1.674e-02
10457	Succinic Acid	172	1	171	1760	17758897	17760657	0.01	0.00	58.7	1.691e-02
11816	Molsidomine	172	1	171	1771	17758886	17760657	0.01	0.00	58.3	1.701e-02
16955	Oligodeoxyribonucleotides, Antisense	172	1	171	1806	17758851	17760657	0.01	0.00	57.2	1.735e-02
13359	Sphingomyelin Phosphodiesterase	172	1	171	1851	17758806	17760657	0.01	0.00	55.8	1.778e-02
11436	Buthionine Sulfoximine	172	1	171	1879	17758778	17760657	0.01	0.00	55.0	1.804e-02
14871	Glutamates	172	2	170	21391	17739266	17760657	0.01	0.00	9.7	1.863e-02
7670	Head Injuries, Closed	172	1	171	1980	17758677	17760657	0.01	0.00	52.2	1.900e-02
12465	Phenanthridines	172	1	171	1996	17758661	17760657	0.01	0.00	51.7	1.915e-02
11879	Benzothiazoles	172	1	171	2052	17758605	17760657	0.01	0.00	50.3	1.969e-02
10647	Thioctic Acid	172	1	171	2072	17758585	17760657	0.01	0.00	49.8	1.988e-02
14309	Calcium-Calmodulin-Dependent Protein Kinase Type 2	172	1	171	2076	17758581	17760657	0.01	0.00	49.7	1.991e-02
11867	Metalloporphyrins	172	1	171	2077	17758580	17760657	0.01	0.00	49.7	1.992e-02
12435	6-Cyano-7-nitroquinoxaline-2,3-dione	172	1	171	2143	17758514	17760657	0.01	0.00	48.2	2.055e-02
21566	Protein Processing, Post-Translational	172	2	170	22652	17738005	17760657	0.01	0.00	9.1	2.073e-02
19326	Electron Spin Resonance Spectroscopy	172	2	170	22725	17737932	17760657	0.01	0.00	9.1	2.085e-02
1893	Rats	172	20	152	1199458	16561199	17760657	0.12	0.07	1.7	2.087e-02
16019	NF-kappa B	172	2	170	22757	17737900	17760657	0.01	0.00	9.1	2.091e-02
11371	Phenols	172	2	170	22816	17737841	17760657	0.01	0.00	9.1	2.101e-02
8397	Granulomatous Disease, Chronic	172	1	171	2197	17758460	17760657	0.01	0.00	47.0	2.106e-02
22943	Soccer	172	1	171	2214	17758443	17760657	0.01	0.00	46.6	2.122e-02
21427	Mitochondrial Swelling	172	1	171	2272	17758385	17760657	0.01	0.00	45.4	2.177e-02
9314	Lithium Carbonate	172	1	171	2308	17758349	17760657	0.01	0.00	44.7	2.211e-02
21879	Feedback, Biochemical	172	1	171	2328	17758329	17760657	0.01	0.00	44.4	2.230e-02
12217	Rotenone	172	1	171	2339	17758318	17760657	0.01	0.00	44.1	2.241e-02
11139	Acetophenones	172	1	171	2345	17758312	17760657	0.01	0.00	44.0	2.246e-02
10120	Pargyline	172	1	171	2425	17758232	17760657	0.01	0.00	42.6	2.322e-02
