HGNC ID	Approved Symbol	Approved Name	Locus Type
4902	HHG	hypergonadotropic hypogonadism	phenotype only
4919	HIVE1	human immunodeficiency virus type 1 (HIV-1) expression (elevated) 1	phenotype only
5011	HMI	hypomelanosis of Ito	phenotype only
5020	HNB1	hereditary neuroblastoma 1	phenotype only
5049	HOAC	hypoacusis 2 (autosomal recessive)	phenotype only
5143	HPC1	hereditary prostate cancer 1	phenotype only
5146	HPCX	hereditary prostate cancer, X-linked	phenotype only
5149	HPE1	holoprosencephaly 1, alobar	phenotype only
5153	HPFH2	hereditary persistence of fetal hemoglobin, heterocellular, Indian type	phenotype only
23824	HPLH1	hemophagocytic lymphohistiocytosis 1	phenotype only
5165	HPT	hypoparathyroidism	phenotype only
5179	HRD	hypoparathyroidism, growth and mental retardation, and dysmorphism	phenotype only
5190	HRPT1	hyperparathyroidism 1	phenotype only
5277	HTC1	hypertrichosis 1 (universalis, congenital)	phenotype only
5278	HTC2	hypertrichosis 2 (generalized, congenital)	phenotype only
5280	HTL	high L-leucine transport	phenotype only
5306	HTX2	heterotaxy 2 (autosomal dominant)	phenotype only
5310	HV1S	herpes simplex virus type 1 sensitivity	phenotype only
13822	HYD2	hypodontia, autosomal recessive (2)	phenotype only
13863	IBD3	inflammatory bowel disease 3	phenotype only
5334	IBD5	inflammatory bowel disease 5	phenotype only
5335	IBD6	inflammatory bowel disease 6	phenotype only
14242	IBD7	inflammatory bowel disease 7	phenotype only
20235	IBD8	inflammatory bowel disease 8	phenotype only
20236	IBD9	inflammatory bowel disease 9	phenotype only
5336	IBGC1	idiopathic basal ganglia calcification 1	phenotype only
5338	IBM3	inclusion body myopathy 3, autosomal dominant	phenotype only
5349	ICCA	infantile convulsions and paroxysmal choreoathetosis	phenotype only
5352	ICR1	ichthyosis congenita I, erythromatous lamellar ichthyosis, ichthyosiform erythroderma	phenotype only
5353	ICR2B	ichthyosis congenita II, lamellar ichthyosis B	phenotype only
5354	ICR3	ichthyosis congenita III, vulgaris-like recessive ichthyosis	phenotype only
5355	ICR4	ichthyosis congenita IV, ichthyosis-prematurity syndrome	phenotype only
5356	ICR5	ichthyosis congenita V, Sjogren-Larsson-like	phenotype only
5357	ICS1	immotile cilia syndrome 1	phenotype only
5373	IDDM2	insulin-dependent diabetes mellitus 2	phenotype only
5374	IDDM3	insulin-dependent diabetes mellitus 3	phenotype only
5375	IDDM4	insulin-dependent diabetes mellitus 4	phenotype only
5376	IDDM5	insulin-dependent diabetes mellitus 5	phenotype only
5377	IDDM6	insulin-dependent diabetes mellitus 6	phenotype only
5378	IDDM7	insulin-dependent diabetes mellitus 7	phenotype only
5379	IDDM8	insulin-dependent diabetes mellitus 8	phenotype only
5380	IDDM9	insulin-dependent diabetes mellitus 9	phenotype only
5364	IDDM10	insulin-dependent diabetes mellitus 10	phenotype only
5365	IDDM11	insulin-dependent diabetes mellitus 11	phenotype only
5366	IDDM12	insulin-dependent diabetes mellitus 12	phenotype only
5367	IDDM13	insulin-dependent diabetes mellitus 13	phenotype only
5368	IDDM14	insulin-dependent diabetes mellitus 14	phenotype only
5369	IDDM15	insulin-dependent diabetes mellitus 15	phenotype only
5370	IDDM16	insulin-dependent diabetes mellitus 16	phenotype only
5371	IDDM17	insulin-dependent diabetes mellitus 17	phenotype only
5372	IDDM18	insulin-dependent diabetes mellitus 18	phenotype only
